COLOR_INTENSITY,SHAPE,RIPENESS_PER,ALCOHOL_PER,MALIC_ACID_PER,ASH,ALCALINITY_OF_ASH,MAGNESIUM_MEASURE,TOTAL_PHENOLS,FLAVANOIDS,PROANTHOCYANINS,HUE,PROLINE,TEMPERATURE,AVG_HUMIDITY,FERT_NITRO_PER,WATER_O2_PER,WATER_PH,FER_P2O5_PER,SOIL_TYPE,CLASS
121.22,elliptical,20.53,14.1,2.16,2.3,18,105,2.95,3.32,2.38,1.25,1510,24.24,54.26,31.65,97.14,7.48,45.09,alluvial,High
116.49,round,16.17,14.12,1.48,2.32,16.8,95,2.2,2.43,1.57,1.17,1280,24.55,54.15,31.75,94.65,7.44,41.61,alluvial,High
120.28,round,21.43,13.75,1.73,2.41,16,89,2.6,2.76,1.81,1.15,1320,21.4,54.35,31.43,95.77,7.32,28.61,archean,High
119.01,round,18.57,14.75,1.73,2.39,11.4,91,3.1,3.69,2.81,1.25,1150,24.99,52.17,31.32,95.32,7.13,30.4,archean,High
132.27,elliptical,21.87,14.38,1.87,2.38,12,102,3.3,3.64,2.96,1.2,1547,24.4,54.18,31.24,93.56,7.49,29.33,archean,High
131.01,elliptical,21.93,13.63,1.81,2.7,17.2,112,2.85,2.91,1.46,1.28,1310,21.4,51.11,31.36,94.49,7.14,24.63,archean,High
124.06,elliptical,17.51,14.3,1.92,2.72,20,120,2.8,3.14,1.97,1.07,1280,21.67,47.83,31.39,94.23,7.67,30.28,archean,High
126.59,elliptical,20.15,13.83,1.57,2.62,20,115,2.95,3.4,1.72,1.13,1130,22.92,51.42,31.39,93.61,7.25,33.27,alluvial,High
139.85,round,18.59,14.19,1.59,2.48,16.5,108,3.3,3.93,1.86,1.23,1680,21.13,52.94,31.94,95.4,7.73,33.31,archean,High
120.91,round,23.36,13.49,3.59,2.19,19.5,88,1.62,0.48,0.88,0.81,580,24.92,45.05,31.94,95.1,7.81,30,alluvial,High
120.28,elliptical,24.01,13.36,2.56,2.35,20,89,1.4,0.5,0.64,0.7,780,24.82,54.53,31.65,95.97,7.5,40.25,archean,High
112.7,round,24.27,13.62,4.95,2.35,20,92,2,0.8,1.02,0.91,550,23.14,49.6,31.39,93.78,7.25,50.97,archean,High
133.22,round,25.2,12.87,4.61,2.48,21.5,86,1.7,0.65,0.86,0.54,625,24.44,49.77,31.22,96.75,7.2,37.69,alluvial,High
138.08,elliptical,24.21,13.32,3.24,2.38,21.5,92,1.93,0.76,1.25,0.55,650,24.76,46.03,31.86,99.16,7.74,29.65,archean,High
117.12,elliptical,17.28,13.64,3.1,2.56,15.2,116,2.7,3.03,1.66,0.96,845,24.22,52.86,31.93,93.35,7.26,26.08,archean,High
120.59,elliptical,17.61,14.06,1.63,2.28,16,126,3,3.17,2.1,1.09,780,22.67,53.97,31.44,97.88,7.59,49.99,alluvial,High
113.33,elliptical,17.03,12.93,3.8,2.65,18.6,102,2.41,2.41,1.98,1.03,770,23.88,45.73,31.44,95.38,7.2,48.8,archean,High
108.91,elliptical,18.05,13.71,1.86,2.36,16.6,101,2.61,2.88,1.69,1.11,1035,23.71,46.44,31.24,98.99,7.57,25.19,alluvial,High
109.73,round,18.04,12.85,1.6,2.52,17.8,95,2.48,2.37,1.46,1.09,1015,23.7,47.97,31.39,98.31,7.72,38.66,alluvial,High
107.14,round,17.3,13.5,1.81,2.61,20,96,2.53,2.61,1.66,1.12,845,22.61,47.37,31.12,93.23,7.14,38.77,archean,High
107.52,round,16.34,13.05,2.05,3.22,25,124,2.63,2.68,1.92,1.13,830,21.78,47.87,31.33,92.71,7.43,29.22,alluvial,High
115.23,elliptical,18.84,13.39,1.77,2.62,16.1,93,2.85,2.94,1.45,0.92,1195,22.97,53.94,31.24,98.49,7.37,51.47,alluvial,High
109.86,elliptical,20.59,13.3,1.72,2.14,17,94,2.4,2.19,1.35,1.02,1285,25.65,46.51,31.23,96.64,7.8,32.07,alluvial,High
113.33,elliptical,21.45,13.87,1.9,2.8,19.4,107,2.95,2.97,1.76,1.25,915,24.57,48.7,31.13,95.61,7.84,25.42,archean,High
114.59,elliptical,16.78,14.02,1.68,2.21,16,96,2.65,2.33,1.98,1.04,1035,22.84,50.82,31.23,97.38,7.15,55.76,alluvial,High
120.91,elliptical,20.77,13.73,1.5,2.7,22.5,101,3,3.25,2.38,1.19,1285,24.72,47.59,31.93,97.85,7.59,45.67,archean,High
128.48,round,18.44,13.58,1.66,2.36,19.1,106,2.86,3.19,1.95,1.09,1515,24.34,52.92,33.42,99.72,7.2,38.38,archean,High
109.16,round,18.26,13.68,1.83,2.36,17.2,104,2.42,2.69,1.97,1.23,990,22.86,46.18,31.71,95.89,7.2,46,archean,High
119.01,elliptical,21.77,13.76,1.53,2.7,19.5,132,2.95,2.74,1.35,1.25,1235,24.7,46.71,31.86,93.71,7.86,26.44,alluvial,High
111.44,round,21.03,13.51,1.8,2.65,19,110,2.35,2.53,1.54,1.1,1095,23.48,49.31,31.47,95.44,7.45,21.44,archean,High
117.12,elliptical,20.23,13.48,1.81,2.41,20.5,100,2.7,2.98,1.86,1.04,920,21.75,45.92,32.32,96.81,7.72,48.81,archean,High
113.96,elliptical,20.55,13.28,1.64,2.84,15.5,110,2.6,2.68,1.36,1.09,880,22.6,51.41,31.39,99.63,7.8,39.23,alluvial,High
111.75,elliptical,19.89,13.05,1.65,2.55,18,98,2.45,2.43,1.44,1.12,1105,22.3,50.71,32,97.32,7.74,21.97,alluvial,High
108.28,elliptical,20.32,13.07,1.5,2.1,15.5,98,2.4,2.64,1.37,1.18,1020,22.12,54.99,31.61,95.84,7.41,45.31,archean,High
117.12,elliptical,18.74,14.22,3.99,2.51,13.2,128,3,3.04,2.08,0.89,760,24.07,50.87,31.82,98.45,7.35,45.47,archean,High
123.62,elliptical,17.76,13.56,1.71,2.31,16.2,117,3.15,3.29,2.34,0.95,795,23.04,50.76,31.05,99.35,7.48,33.31,archean,High
111.94,elliptical,18.09,13.41,3.84,2.12,18.8,90,2.45,2.68,1.48,0.91,1035,24.03,53.41,31.54,95.43,7.15,30.08,archean,High
119.2,round,19.86,13.88,1.89,2.59,15,101,3.25,3.56,1.7,0.88,1095,21.02,45.13,31.02,95.98,7.6,50.57,archean,High
112.45,round,16.86,13.24,3.98,2.29,17.5,103,2.64,2.63,1.66,0.82,680,21.18,48.35,31.52,95.04,7.53,46,archean,High
116.74,round,19.55,13.05,1.77,2.1,17,107,3,3,2.03,0.88,885,23.38,50.53,31.94,93.15,7.79,38.87,alluvial,High
118,elliptical,18.62,14.21,4.04,2.44,18.9,111,2.85,2.65,1.25,0.87,1080,21.39,47.55,31.36,94.3,7.49,51.33,archean,High
115.86,elliptical,18.08,14.38,3.59,2.28,16,102,3.25,3.17,2.19,1.04,1065,23.8,54.32,31.82,96.99,7.23,22.33,archean,High
123.43,elliptical,18.36,13.9,1.68,2.12,16,101,3.1,3.39,2.14,0.91,985,22.74,49.72,34.16,98.28,7.58,45.15,alluvial,High
124.06,elliptical,19.8,14.1,2.02,2.4,18.8,103,2.75,2.92,2.38,1.07,1060,22.63,50.75,31.24,99.39,7.64,54.66,archean,High
141.11,elliptical,17.7,13.94,1.73,2.27,17.4,108,2.88,3.54,2.08,1.12,1260,22.13,49.34,31.23,95.54,7.41,20,archean,High
130.38,elliptical,16.62,13.05,1.73,2.04,12.4,92,2.72,3.27,2.91,1.12,1150,24.64,45.95,31.91,99.1,7.62,37.36,archean,High
120.28,round,21.68,13.83,1.65,2.6,17.2,94,2.45,2.99,2.29,1.24,1265,21.76,54.87,31.03,98.02,7.48,37.58,alluvial,High
129.43,round,17.16,13.82,1.75,2.42,14,111,3.88,3.74,1.87,1.01,1190,21.18,53.08,31.43,99.14,7.44,55.16,archean,High
124.7,round,21.11,13.77,1.9,2.68,17.1,115,3,2.79,1.68,1.13,1375,24.69,54.26,31.47,95.99,7.67,22.05,alluvial,High
121.85,elliptical,17.1,13.74,1.67,2.25,16.4,118,2.6,2.9,1.62,0.92,1060,21.2,48.22,31.11,96.85,7.75,29.9,alluvial,High
124.38,elliptical,16.69,13.56,1.73,2.46,20.5,116,2.96,2.78,2.45,0.98,1120,22.44,49.67,31.95,93.46,7.47,35.03,archean,High
125.2,elliptical,20.65,14.22,1.7,2.3,16.3,118,3.2,3,2.03,0.94,970,22.39,51.83,31.63,95.57,7.62,49.53,archean,High
122.8,elliptical,17.74,13.29,1.97,2.68,16.8,102,3,3.23,1.66,1.07,1270,23.27,48.3,31.33,95.43,7.86,23.43,archean,High
127.85,elliptical,21.08,13.72,1.43,2.5,16.7,108,3.4,3.67,2.04,0.89,1285,23.5,49.72,31.29,93.77,7.61,54.86,alluvial,High
110.81,elliptical,24.17,12.86,1.35,2.32,18,122,1.51,1.25,0.94,0.76,630,28.92,48.07,28.64,82.81,8.03,33.45,alluvial,Low
119.01,round,23.49,12.88,2.99,2.4,20,104,1.3,1.22,0.83,0.74,530,29.48,51.45,29.72,83.68,8.08,27.34,archean,Low
120.91,elliptical,25.1,12.81,2.31,2.4,24,98,1.15,1.09,0.83,0.66,560,30.73,50.09,28.79,84.09,8.5,38.49,archean,Low
116.49,elliptical,23.45,12.7,3.55,2.36,21.5,106,1.7,1.2,0.84,0.78,600,29.45,49.83,28.46,84.48,7.95,38.75,archean,Low
119.33,round,24.49,12.51,1.24,2.25,17.5,85,2,0.58,1.25,0.75,650,30.65,51.8,29.01,80.77,8.15,51.36,archean,Low
129.75,elliptical,24.62,12.6,2.46,2.2,18.5,94,1.62,0.66,0.94,0.73,695,30.68,50.39,30.03,84.21,8.19,33.33,alluvial,Low
109.23,elliptical,24.8,12.25,4.72,2.54,21,89,1.38,0.47,0.8,0.75,720,31.25,48.94,29.54,81.9,8.07,25.07,alluvial,Low
116.49,round,25.01,12.53,5.51,2.64,25,96,1.79,0.6,1.1,0.82,515,32,51.38,28.68,85.85,8.18,51.66,alluvial,Low
120.91,round,23.36,13.49,3.59,2.19,19.5,88,1.62,0.48,0.88,0.81,580,29.28,48.72,28.84,83.6,8.24,31.71,alluvial,Low
115.98,elliptical,23.88,12.84,2.96,2.61,24,101,2.32,0.6,0.81,0.89,590,30.4,53.59,29.52,83.92,7.91,39.82,archean,Low
113.96,elliptical,25.06,12.93,2.81,2.7,21,96,1.54,0.5,0.75,0.77,600,29.48,53.45,29.92,85.63,8.34,25.76,archean,Low
120.28,elliptical,24.01,13.36,2.56,2.35,20,89,1.4,0.5,0.64,0.7,780,30.36,55.19,28.01,84.74,8.24,45.83,archean,Low
112.38,round,24.8,13.52,3.17,2.72,23.5,97,1.55,0.52,0.55,0.89,520,31.27,54.5,29.5,89.22,8.01,29.92,alluvial,Low
112.7,round,24.27,13.62,4.95,2.35,20,92,2,0.8,1.02,0.91,550,32.34,55.27,29.28,91.71,8.3,28.02,archean,Low
136.76,elliptical,23.85,12.25,3.88,2.2,18.5,112,1.38,0.78,1.14,0.65,855,31.26,50.76,29.78,86.3,8.14,51.95,archean,Low
110.17,elliptical,23.23,13.16,3.57,2.15,21,102,1.5,0.55,1.3,0.6,830,29.06,49.25,28.09,85.57,8.07,34.83,archean,Low
104.18,elliptical,22.54,12.29,1.61,2.21,20.4,103,1.1,1.02,1.46,0.906,870,31.08,54.76,29.88,85.59,8.12,46,alluvial,Low
106.26,elliptical,22.14,13.86,1.51,2.67,25,86,2.95,2.86,1.87,1.36,410,30.18,51.07,29.95,81.28,8.44,47.5,alluvial,Low
108.53,elliptical,22.8,13.49,1.66,2.24,24,87,1.88,1.84,1.03,0.98,472,30.42,54.7,29.81,85.92,8.13,45.36,alluvial,Low
106.07,round,21.93,12.99,1.67,2.6,30,139,3.3,2.89,1.96,1.31,985,28.19,51.23,28.38,80.57,8.43,32.46,alluvial,Low
105.19,elliptical,21.82,11.96,1.09,2.3,21,101,3.38,2.14,1.65,0.99,886,28.65,53.33,29.19,82.77,8.03,44.98,alluvial,Low
108.91,round,21.28,11.66,1.88,1.92,16,97,1.61,1.57,1.15,1.23,428,29.8,49.99,31.57,84.91,8.23,35.21,alluvial,Low
115.86,round,24.8,13.88,5.04,2.23,20,80,0.98,0.34,0.68,0.58,415,31.47,55.45,29.48,83.8,8.45,36.25,archean,Low
133.22,round,25.2,12.87,4.61,2.48,21.5,86,1.7,0.65,0.86,0.54,625,31,51.06,29.92,82.67,8.46,47.82,archean,Low
138.08,elliptical,24.21,13.32,3.24,2.38,21.5,92,1.93,0.76,1.25,0.55,650,31.93,51.24,29.57,84.24,8.44,36.9,archean,Low
144.27,elliptical,24.96,13.08,3.9,2.36,21.5,113,1.41,1.39,1.14,0.57,550,32.31,54.33,31.17,85.9,7.98,45.06,alluvial,Low
139.22,elliptical,23.36,13.5,3.12,2.62,24,123,1.4,1.57,1.25,0.59,500,28.38,52.06,28.28,85.38,8.33,48.76,archean,Low
153.11,round,24.64,12.79,2.67,2.48,22,112,1.48,1.36,1.26,0.48,480,30.65,49.65,29.67,83.37,8.09,48.68,alluvial,Low
129.75,round,23.52,13.11,1.9,2.75,25.5,116,2.2,1.28,1.56,0.61,425,29.73,51.28,29.4,83.63,8.34,43.71,archean,Low
151.34,round,24.2,13.23,3.3,2.28,18.5,98,1.8,0.83,1.87,0.56,675,28.93,54.42,29.14,84.84,8.3,27.48,alluvial,Low
132.9,elliptical,24.36,12.58,1.29,2.1,20,103,1.48,0.58,1.4,0.58,640,29.8,53.49,28.81,85.27,8.19,40.3,archean,Low
134.8,elliptical,23.25,13.17,5.19,2.32,22,93,1.74,0.63,1.55,0.6,725,28.24,49.15,29.94,83.55,7.97,48.95,alluvial,Low
141.81,round,23.34,13.84,4.12,2.38,19.5,89,1.8,0.83,1.56,0.57,480,30.13,53.29,28.47,82.92,8.19,44.21,archean,Low
132.27,elliptical,24.95,12.45,3.03,2.64,27,97,1.9,0.58,1.14,0.67,880,29.36,53.53,28.94,80.52,8.23,49.03,archean,Low
167,elliptical,24.88,14.34,1.68,2.7,25,98,2.8,1.31,2.7,0.57,660,32.34,53.09,28.94,82.28,8.25,33.78,archean,Low
159.11,round,24.3,13.48,1.67,2.64,22.5,89,2.6,1.1,2.29,0.57,620,30.07,48.39,28.07,89.13,8.26,50.8,archean,Low
133.22,elliptical,24.36,12.36,3.83,2.38,21,88,2.3,0.92,1.04,0.56,520,28.07,52.93,29.93,84.97,8.37,25.07,alluvial,Low
122.04,round,23.89,13.69,3.26,2.54,20,107,1.83,0.56,0.8,0.96,680,29.02,51.35,28.73,80.94,8.38,25.3,alluvial,Low
120.15,round,23.23,12.85,3.27,2.58,22,106,1.65,0.6,0.96,0.87,570,30.09,51.75,29.44,85.42,8.44,41.42,alluvial,Low
118.26,elliptical,23.82,12.96,3.45,2.35,18.5,106,1.39,0.7,0.94,0.68,675,31.85,55.95,29.77,81.91,8.45,27.03,archean,Low
145.41,elliptical,23.15,13.78,2.76,2.3,22,90,1.35,0.68,1.03,0.7,615,31.04,54.21,29.56,80.69,8.3,27.63,alluvial,Low
126.72,round,23.5,13.73,4.36,2.26,22.5,88,1.28,0.47,1.15,0.78,520,31.57,55.8,28.48,81.63,8.24,34.13,alluvial,Low
152.35,round,23.91,13.45,3.7,2.6,23,111,1.7,0.92,1.46,0.85,695,28.81,54.82,29.44,83.62,7.99,26.57,archean,Low
149.7,elliptical,24.38,12.82,3.37,2.3,19.5,88,1.48,0.66,0.97,0.72,685,31.92,48.99,29.64,80.58,8.26,45.13,archean,Low
139.6,elliptical,24.02,13.58,2.58,2.69,24.5,105,1.55,0.84,1.54,0.74,750,29.55,51.36,30.13,84.58,8.32,45.56,alluvial,Low
138.59,round,24.22,13.4,4.6,2.86,25,112,1.98,0.96,1.11,0.67,630,32.27,50.35,31.88,85.32,7.91,27.8,archean,Low
119.65,elliptical,24.3,12.2,3.03,2.32,19,96,1.25,0.49,0.73,0.66,510,28.94,50.7,29.43,80.36,7.91,48.85,archean,Low
147.43,round,23.86,12.77,2.39,2.28,19.5,86,1.39,0.51,0.64,0.57,470,28.36,51.62,28.17,80.72,8.15,29.68,alluvial,Low
146.16,elliptical,23.81,14.16,2.51,2.48,20,91,1.68,0.7,1.24,0.62,660,30.17,49.62,28.76,82.75,8.44,37.97,alluvial,Low
133.54,round,23.38,13.71,5.65,2.45,20.5,95,1.68,0.61,1.06,0.64,740,29.53,49.46,29.66,80.92,8.29,28.78,alluvial,Low
131.01,elliptical,24.68,13.4,3.91,2.48,23,102,1.8,0.75,1.41,0.7,750,28.74,51.16,30,81.24,8.03,31.7,archean,Low
149.32,elliptical,23.93,13.27,4.28,2.26,20,120,1.59,0.69,1.35,0.59,835,30.48,53.91,28.79,82.64,8.24,34.54,archean,Low
143.64,elliptical,24.77,13.17,2.59,2.37,20,120,1.65,0.68,1.46,0.6,840,31.22,49.25,28.04,85.98,8.17,41.41,alluvial,Low
143.01,round,24.52,14.13,4.1,2.74,24.5,96,2.05,0.76,1.35,0.61,560,32.12,49.48,28,82.85,8.41,28.68,archean,Low
97.23,round,21.07,12.37,0.94,1.36,10.6,88,1.98,0.57,0.42,1.05,520,25.97,55.61,30.7,90.93,7.95,49.39,archean,Medium
105.56,round,22.93,12.33,1.1,2.28,16,101,2.05,1.09,0.41,1.25,680,26.33,55.98,30.3,89.03,7.36,59.37,archean,Medium
121.22,round,21.43,12.64,1.36,2.02,16.8,100,2.02,1.41,0.62,0.98,450,26.21,46.43,30.98,89.4,6.51,57.34,alluvial,Medium
108.91,round,22.35,13.67,1.25,1.92,18,94,2.1,1.79,0.73,1.23,630,26.07,50.2,30.32,86.07,8.43,57.47,archean,Medium
113.02,elliptical,21.26,12.37,1.13,2.16,19,87,3.5,3.1,1.87,1.22,420,26,51.13,30.5,90.11,7.21,49.56,alluvial,Medium
103.54,round,21.86,12.17,1.45,2.53,19,104,1.89,1.75,1.03,1.45,355,24.98,52.27,32.59,90.21,8.24,45.28,archean,Medium
113.96,elliptical,22.82,12.37,1.21,2.56,18.1,98,2.42,2.65,2.08,1.19,678,24.29,48.2,30.44,91.28,7.18,47.56,alluvial,Medium
118.38,round,22.91,13.11,1.01,1.7,15,78,2.98,3.18,2.28,1.12,502,28.37,52.85,30.72,91.07,7.66,54.71,alluvial,Medium
114.47,elliptical,22.63,12.37,1.17,1.92,19.6,78,2.11,2,1.04,1.12,510,26.77,52.12,30.92,86.24,6.93,45.45,alluvial,Medium
104.93,elliptical,22.84,13.34,0.94,2.36,17,110,2.53,1.3,0.42,1.02,750,26.43,45.99,30.18,92.05,7.52,57.8,archean,Medium
102.91,elliptical,21.56,12.21,1.19,1.75,16.8,151,1.85,1.28,2.5,1.28,718,27.6,56.1,30.6,86.47,8.44,44.66,alluvial,Medium
104.18,elliptical,22.54,12.29,1.61,2.21,20.4,103,1.1,1.02,1.46,0.906,870,25.72,55.44,30.29,93.69,7.83,45.68,archean,Medium
106.26,elliptical,22.14,13.86,1.51,2.67,25,86,2.95,2.86,1.87,1.36,410,26.25,53.81,31.56,94.98,6.79,48.89,archean,Medium
108.53,elliptical,22.8,13.49,1.66,2.24,24,87,1.88,1.84,1.03,0.98,472,25.11,45.95,30.24,91.09,8.1,39.52,alluvial,Medium
106.07,round,21.93,12.99,1.67,2.6,30,139,3.3,2.89,1.96,1.31,985,28.16,44.33,30.63,90.5,8.41,52.41,alluvial,Medium
105.19,elliptical,21.82,11.96,1.09,2.3,21,101,3.38,2.14,1.65,0.99,886,28.17,53.73,30.9,93.99,8.43,48.47,alluvial,Medium
108.91,round,21.28,11.66,1.88,1.92,16,97,1.61,1.57,1.15,1.23,428,25.03,47.07,30.55,87.33,7.99,56.62,archean,Medium
113.96,elliptical,21.82,13.03,0.9,1.71,16,86,1.95,2.03,1.46,1.19,392,28.55,52.93,30.91,94.42,7.08,54.32,archean,Medium
101.65,elliptical,21.25,11.84,2.89,2.23,18,112,1.72,1.32,0.95,0.96,500,26.61,50.81,30.79,85.59,7.09,48.38,archean,Medium
106.39,round,22.66,12.33,0.99,1.95,14.8,136,1.9,1.85,2.76,1.06,750,27.93,50.19,30.67,91.22,7.49,34.48,alluvial,Medium
101.15,elliptical,21.22,12.7,3.87,2.4,23,101,2.83,2.55,1.95,1.19,463,26.18,52.76,30.92,89.06,7.66,36.01,archean,Medium
100.7,elliptical,22.47,12,0.92,2,19,86,2.42,2.26,1.43,1.38,278,27,46.54,30.21,87.84,6.55,43.99,archean,Medium
109.54,elliptical,22.51,12.72,1.81,2.2,18.8,86,2.2,2.53,1.77,1.16,714,26.45,52.88,30.81,92.34,6.88,39.69,archean,Medium
98.81,elliptical,22.53,12.08,1.13,2.51,24,78,2,1.58,1.4,1.31,630,24.64,57.95,30.4,86.06,8.28,56.54,archean,Medium
115.23,elliptical,21.27,13.05,3.86,2.32,22.5,85,1.65,1.59,1.62,0.84,515,25.11,52.61,31.4,88,7.07,49.88,alluvial,Medium
104.18,round,21.83,11.84,0.89,2.58,18,94,2.2,2.21,2.35,0.79,520,25.27,54.95,30.84,92.86,6.84,47.64,alluvial,Medium
101.46,round,21.82,12.67,0.98,2.24,18,99,2.2,1.94,1.46,1.23,450,24.24,54.74,30.21,91.93,7.86,50.94,alluvial,Medium
100.39,elliptical,22.64,12.16,1.61,2.31,22.8,90,1.78,1.69,1.56,1.33,495,25.75,46.17,30.94,95.24,8.01,52.91,alluvial,Medium
101.33,elliptical,21.54,11.65,1.67,2.62,26,88,1.92,1.61,1.34,1.36,562,24.38,56.37,30.36,91.19,6.64,51.3,alluvial,Medium
102.6,elliptical,21.44,11.64,2.06,2.46,21.6,84,1.95,1.69,1.35,1,680,25.07,45.67,30.58,88.5,7.26,56.71,alluvial,Medium
95.9,round,22.69,12.08,1.33,2.3,23.6,70,2.2,1.59,1.38,1.07,625,28.73,54.54,30.82,87.4,6.58,41.62,alluvial,Medium
100.07,elliptical,22.91,12.08,1.83,2.32,18.5,81,1.6,1.5,1.64,1.08,480,25.22,47.12,30.44,89,8.34,51.31,archean,Medium
107.65,elliptical,21.36,12,1.51,2.42,22,86,1.45,1.25,1.63,1.05,450,28.89,52.15,30.73,87.33,6.95,57.64,alluvial,Medium
104.18,elliptical,21.13,12.69,1.53,2.26,20.7,80,1.38,1.46,1.62,0.96,495,26.55,47.55,31.74,91.49,7.8,38.83,archean,Medium
98.49,round,22.81,12.29,2.83,2.22,18,88,2.45,2.25,1.99,1.15,290,26.81,46,32.56,89.47,7.85,38.29,archean,Medium
105.44,round,22.23,11.62,1.99,2.28,18,98,3.02,2.26,1.35,1.16,345,28.01,57.73,30.04,85.98,7.16,57.2,alluvial,Medium
101.33,elliptical,22.78,12.47,1.52,2.2,19,162,2.5,2.27,3.28,1.16,937,26.45,50.09,30.42,92,7.21,45.55,alluvial,Medium
100.7,elliptical,21.07,11.81,2.12,2.74,21.5,134,1.6,0.99,1.56,0.95,625,25.89,54.87,30.85,86.66,6.86,34.95,alluvial,Medium
103.23,elliptical,21.52,12.29,1.41,1.98,16,85,2.55,2.5,1.77,1.23,428,28.25,53.7,30.59,90,7.58,47.33,archean,Medium
113.33,round,21.02,12.37,1.07,2.1,18.5,88,3.52,3.75,1.95,1.04,660,27.91,52.84,30.26,89.73,7.25,46.93,archean,Medium
99.44,round,21.12,12.29,3.17,2.21,18,88,2.85,2.99,2.81,1.42,406,26.81,48.35,30.86,89.31,6.69,42.64,alluvial,Medium
105.75,elliptical,22.55,12.08,2.08,1.7,17.5,97,2.23,2.17,1.4,1.27,710,25.66,56.53,28.91,93.21,7.58,46.86,alluvial,Medium
100.39,elliptical,21.74,12.6,1.34,1.9,18.5,88,1.45,1.36,1.35,1.04,562,25.62,45.65,30.24,88.48,6.77,60.87,archean,Medium
102.6,elliptical,22.85,12.34,2.45,2.46,21,98,2.56,2.11,1.31,0.8,438,25.05,56.17,30.75,91.65,7.2,52.57,archean,Medium
97.92,round,22.7,11.82,1.72,1.88,19.5,86,2.5,1.64,1.42,0.94,415,24.88,51.4,30.89,93.1,7.41,53.46,alluvial,Medium
103.48,round,22.37,12.51,1.73,1.98,20.5,85,2.2,1.92,1.48,1.04,672,27.45,51.82,30.37,93.76,7.2,55.44,alluvial,Medium
101.97,elliptical,21.57,12.42,2.55,2.27,22,90,1.68,1.84,1.42,0.86,315,26.32,50.39,30.87,88.28,7.49,51.92,archean,Medium
106.39,round,21.68,12.25,1.73,2.12,19,80,1.65,2.03,1.63,1,510,27.75,51.61,30.73,91.86,7.33,59.47,alluvial,Medium
105.75,elliptical,21.49,12.72,1.75,2.28,22.5,84,1.38,1.76,1.63,0.88,488,28.65,52.55,30.28,90.07,6.71,49.03,alluvial,Medium
101.97,elliptical,21.89,12.22,1.29,1.94,19,92,2.36,2.04,2.08,0.86,312,26.38,47.36,30.44,86.99,8.44,52.42,alluvial,Medium
101.65,elliptical,21.12,11.61,1.35,2.7,20,94,2.74,2.92,2.49,0.96,680,24.68,55.59,30.47,89.3,7.58,51.17,alluvial,Medium
103.23,round,22.94,11.46,3.74,1.82,19.5,107,3.18,2.58,3.58,0.75,562,27.17,44.76,30.23,92.67,8.35,60.41,alluvial,Medium
97.55,elliptical,22.35,12.52,2.43,2.17,21,88,2.55,2.27,1.22,0.9,325,28.01,44.28,30.22,91.21,8.12,46.61,archean,Medium
108.91,elliptical,22.73,11.76,2.68,2.92,20,103,1.75,2.03,1.05,1.23,607,27.64,44.23,30.43,87.37,7.23,34.4,archean,Medium
104.37,elliptical,22.77,11.41,0.74,2.5,21,88,2.48,2.01,1.44,1.1,434,28.58,57.23,30.75,94.43,7.76,46.4,alluvial,Medium
103.23,round,21.55,12.08,1.39,2.5,22.5,84,2.56,2.29,1.04,0.93,385,24.4,45.98,27.67,85.54,6.87,43.16,archean,Medium
96.91,round,21.12,11.03,1.51,2.2,21.5,85,2.46,2.17,2.01,1.71,407,24.45,57.24,30.62,88.13,7.53,38.54,alluvial,Medium
